timestamp,scenario_name,latitude,longitude,altitude,speed,latitude_2,longitude_2,altitude_2,speed_2,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Classification,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Classification,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusTracksTrack_Alarm,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_type,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,drones,utm_x,utm_y,utm_x2,utm_y2,alvira_utm_x,alvira_utm_y,arcus_utm_x,arcus_utm_y,reference_classification,reference_drones
1601381456,Scenario_1_1,51.519506,5.857978,0.9,2.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698276.8867810923,5711471.080522182,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381457,Scenario_1_1,51.519506,5.857978,2.2,3.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,17.866666,27.521214,227.0,controller,1.0,VOID,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391960547936.0,50.0,2.0,1,698276.8867810923,5711471.080522182,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381458,Scenario_1_1,51.519506,5.85798,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,0.0,FHSS,Cheerson Leopard 2,192,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391959776345.0,330.9,0.0,1,698277.0255084147,5711471.085943712,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381459,Scenario_1_1,51.519506,5.85798,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,1.0,FHSS,DJI Mavic Pro long,197,active,2440000000.0,ISM 2.4 GHz,1601391908790885.0,1601391961271410.0,0.0,0.0,1,698277.0255084147,5711471.085943712,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381460,Scenario_1_1,51.519507,5.85798,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,23.304105,87.01588000000002,121.0,aircraft,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698277.021163347,5711471.197126248,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381461,Scenario_1_1,51.519507,5.85798,5.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,1.0,VOID,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391965154630.0,52.0,2.0,1,698277.021163347,5711471.197126248,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381462,Scenario_1_1,51.519507,5.85798,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698277.021163347,5711471.197126248,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381463,Scenario_1_1,51.519507,5.85798,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698277.021163347,5711471.197126248,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381464,Scenario_1_1,51.519507,5.857981,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698277.0905270067,5711471.199837013,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381465,Scenario_1_1,51.519508,5.857982,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,11.921907,-25.759901,451.0,controller,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698277.1555455953,5711471.313730318,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381466,Scenario_1_1,51.519508,5.857982,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698277.1555455953,5711471.313730318,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381467,Scenario_1_1,51.519508,5.857982,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,1.0,VOID,DJI OcuSync,281474977710659,active,2466500000.0,ISM 2.4 GHz,1601391914335300.0,1601391970521874.0,51.0,2.0,1,698277.1555455953,5711471.313730318,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381468,Scenario_1_1,51.519509,5.857982,5.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,0.0,0.0,0.0,VOID,0.0,0.0,Void,0.0,0.0,0.0,void,0.0,VOID,UNKNOWN,0,down,0.0,DOWN,0.0,0.0,0.0,0.0,1,698277.1512005243,5711471.424912853,0.0,0.0,0.0,0.0,0.0,0.0,0,0
