total in seconds,datetime(utc),channels,AlviraPotentialDronePlots_timestamp,AlviraPotentialDronPlot_id,AlviraPotentialDronPlot_rcs,AlviraPotentiaDronPlotsPlot_timestamp,AlviraPotentiaDronPlotPlotPosition_altitude,AlviraPotentialDronPlotsPlotPosition_latitude,AlviraPotentialDronPlotsPlotPosition_longitude,AlviraTracks_timestamp,AlviraTracksTrack_id,AlviraTracksTrack_Timestamp,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Classification,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,AlviraSystemStatus_timestamp,AlviraSystemStatus_Name,AlviraSystemStatus_Version,AlviraSystemStatus_OperationalState,AlviraSystemStatusSensor_Name,AlviraSystemStatusSensor_Version,AlviraSystemStatusSensor_OperationalState,AlviraSystemStatusSensorPosition_Latitude,AlviraSystemStatusSensorPosition_Longitude,AlviraSystemStatusSensorPosition_Altitude,AlviraSystemStatusSensorStatusOrientetation_Azimuth,AlviraSystemStatusSensorStatusOrientetation_Elevation,AlviraSystemStatusSensorStatus_SensorType,AlviraSystemStatusSensorStatusBlankSector_Angle,AlviraSystemStatusSensorStatusBlankSector_Span,AlviraSystemStatusSensorStatusProcessing_Sensitivity,SystemStatusSensorStatus_Messages
1601381457,2020-09-29 12:10:57,,,,,,,,,2020-09-29T12:10:58.118Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381459,2020-09-29 12:10:59,,,,,,,,,2020-09-29T12:10:59.427Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381460,2020-09-29 12:11:00,,,,,,,,,2020-09-29T12:11:00.732Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381461,2020-09-29 12:11:01,,,,,,,,,2020-09-29T12:11:02.044Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381463,2020-09-29 12:11:03,,,,,,,,,2020-09-29T12:11:03.349Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381464,2020-09-29 12:11:04,,,,,,,,,2020-09-29T12:11:04.654Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381465,2020-09-29 12:11:05,,,,,,,,,2020-09-29T12:11:05.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381467,2020-09-29 12:11:07,,,,,,,,,2020-09-29T12:11:07.265Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381468,2020-09-29 12:11:08,,,,,,,,,2020-09-29T12:11:08.576Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381469,2020-09-29 12:11:09,,,,,,,,,2020-09-29T12:11:09.881Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
