total in seconds,datetime(utc),channels,ArcusPotentialDronePlots_timestamp,ArcusPotentialDronPlot_id,ArcusPotentialDronPlot_rcs,ArcusPotentiaDronPlotsPlot_timestamp,ArcusPotentiaDronPlotPlotPosition_altitude,ArcusPotentialDronPlotsPlotPosition_latitude,ArcusPotentialDronPlotsPlotPosition_longitude,ArcusTracks_timestamp,ArcusTracksTrack_id,ArcusTracksTrack_Timestamp,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Classification,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusTracksTrack_Alarm,ArcusSystemStatus_timestamp,ArcusSystemStatus_Name,ArcusSystemStatus_Version,ArcusSystemStatus_OperationalState,ArcusSystemStatusSensor_Name,ArcusSystemStatusSensor_Version,ArcusSystemStatusSensor_OperationalState,ArcusSystemStatusSensorPosition_Latitude,ArcusSystemStatusSensorPosition_Longitude,ArcusSystemStatusSensorPosition_Altitude,ArcusSystemStatusSensorStatusOrientetation_Azimuth,ArcusSystemStatusSensorStatusOrientetation_Elevation,ArcusSystemStatusSensorStatus_SensorType,ArcusSystemStatusSensorStatusBlankSector_Angle,ArcusSystemStatusSensorStatusBlankSector_Span,ArcusSystemStatusSensorStatusProcessing_Sensitivity,SystemStatusSensorStatus_Messages
1601381935,2020-09-29 12:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381935,2020-09-29 12:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381935,2020-09-29 12:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381935,2020-09-29 12:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381935,2020-09-29 12:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381935,2020-09-29 12:18:55,,,,,,,,,,,,,,,,,,,,,,2020-09-29T12:18:55.421Z,Iris,20.10.0 (trunk 32309),operational,GPS,20.10.0 (trunk 32309),idle,51.52149,5.87059167,30.0,-155.61763,0.0,3DSearchRadar,0.78539819,2.3561945,0.0,Control connection OKConstructing
1601381935,2020-09-29 12:18:55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.14159274,0.0,,
1601381936,2020-09-29 12:18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381936,2020-09-29 12:18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381936,2020-09-29 12:18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381936,2020-09-29 12:18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601381936,2020-09-29 12:18:56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
