total in seconds,datetime(utc),channels,AlviraPotentialDronePlots_timestamp,AlviraPotentialDronPlot_id,AlviraPotentialDronPlot_rcs,AlviraPotentiaDronPlotsPlot_timestamp,AlviraPotentiaDronPlotPlotPosition_altitude,AlviraPotentialDronPlotsPlotPosition_latitude,AlviraPotentialDronPlotsPlotPosition_longitude,AlviraTracks_timestamp,AlviraTracksTrack_id,AlviraTracksTrack_Timestamp,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Classification,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,AlviraSystemStatus_timestamp,AlviraSystemStatus_Name,AlviraSystemStatus_Version,AlviraSystemStatus_OperationalState,AlviraSystemStatusSensor_Name,AlviraSystemStatusSensor_Version,AlviraSystemStatusSensor_OperationalState,AlviraSystemStatusSensorPosition_Latitude,AlviraSystemStatusSensorPosition_Longitude,AlviraSystemStatusSensorPosition_Altitude,AlviraSystemStatusSensorStatusOrientetation_Azimuth,AlviraSystemStatusSensorStatusOrientetation_Elevation,AlviraSystemStatusSensorStatus_SensorType,AlviraSystemStatusSensorStatusBlankSector_Angle,AlviraSystemStatusSensorStatusBlankSector_Span,AlviraSystemStatusSensorStatusProcessing_Sensitivity,SystemStatusSensorStatus_Messages
1601387720,2020-09-29 13:55:20,,,,,,,,,2020-09-29T13:55:20.307Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601387721,2020-09-29 13:55:21,,,,,,,,,2020-09-29T13:55:21.610Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601387722,2020-09-29 13:55:22,,,,,,,,,2020-09-29T13:55:22.914Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601387723,2020-09-29 13:55:23,,,,,,,,,2020-09-29T13:55:24.213Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601387725,2020-09-29 13:55:25,,,,,,,,,2020-09-29T13:55:25.521Z,,2020-09-29T13:55:24.240Z,51.51936133,5.85778133,26.14283484,45.73967361,0.0,0.61730838,DRONE,3.17361415,0.94420743,True,,,,,,,,,,,,,,,,,
1601387726,2020-09-29 13:55:26,,,,,,,,,2020-09-29T13:55:26.821Z,,2020-09-29T13:55:25.542Z,51.5193593,5.85781116,26.10961103,87.08615875,0.0,1.00768256,DRONE,3.15267703,0.95536399,True,,,,,,,,,,,,,,,,,
1601387727,2020-09-29 13:55:27,,,,,,,,,2020-09-29T13:55:28.127Z,,2020-09-29T13:55:26.847Z,51.51934636,5.85780254,26.26075497,186.3732605,0.0,1.28544819,DRONE,3.3099725,0.96424693,True,,,,,,,,,,,,,,,,,
1601387729,2020-09-29 13:55:29,,,,,,,,,2020-09-29T13:55:29.427Z,,2020-09-29T13:55:28.150Z,51.51935628,5.85780426,26.15422981,15.55052757,0.0,0.80151886,DRONE,3.36690461,0.97136462,True,,,,,,,,,,,,,,,,,
1601387730,2020-09-29 13:55:30,,,,,,,,,2020-09-29T13:55:30.734Z,,2020-09-29T13:55:29.454Z,51.51935956,5.8577954000000005,26.13009903,307.67590332,0.0,0.30765939,DRONE,3.47202386,0.97709024,True,,,,,,,,,,,,,,,,,
1601387731,2020-09-29 13:55:31,,,,,,,,,2020-09-29T13:55:32.034Z,,2020-09-29T13:55:30.757Z,51.51935806,5.85780065,26.13883314,155.26538086,0.0,0.08008188,DRONE,3.46746605,0.98167199,True,,,,,,,,,,,,,,,,,
