total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_type,DianaTargetsTargetClassification_model,DianaTargetsTargetClassification_score,channels
1601387720,2020-09-29 13:55:20,738063.7,51.519137,5.857951,31.0,1.0,0.0,34.699002,78.54721500000002,32.0,controller,Unknown,0.333333,0
1601387720,2020-09-29 13:55:20,,,,,,0.0,32.228484,78.54721500000002,43.0,controller,Unknown,0.332789,0
1601387720,2020-09-29 13:55:20,,,,,,0.0,32.160677,78.54721500000002,43.0,controller,Unknown,0.32834,0
1601387726,2020-09-29 13:55:26,,,,,,0.0,22.60029,10.789242999999999,131.0,controller,Unknown,0.366667,2
1601387726,2020-09-29 13:55:26,,,,,,0.0,15.896975,10.789242999999999,285.0,controller,Unknown,0.24577100000000002,2
1601387726,2020-09-29 13:55:26,738063.7,51.519137,5.857951,31.0,3.0,0.0,32.814174,10.789242999999999,40.0,controller,Unknown,0.4,2
1601387729,2020-09-29 13:55:29,738063.7,51.519137,5.857951,31.0,1.0,20000.0,20.67715,91.446414,164.0,controller,Wifi-Bluetooth,0.766667,0
1601387729,2020-09-29 13:55:29,,,,,,0.0,13.584398,91.446414,372.0,controller,Unknown,0.320785,0
1601387729,2020-09-29 13:55:29,,,,,,0.0,13.293244,91.446414,385.0,controller,Unknown,0.24856799999999998,0
1601387732,2020-09-29 13:55:32,738063.7,51.519137,5.857951,31.0,2.0,1001.0,35.557678,13.451068,29.0,aircraft,DJI-MAVIC-2-PRO,0.733333,1
1601387732,2020-09-29 13:55:32,,,,,,0.0,21.945242999999998,13.451068,142.0,controller,Unknown,0.333333,1
1601387735,2020-09-29 13:55:35,738063.7,51.519137,5.857951,31.0,3.0,0.0,32.853159999999995,8.180860000000001,40.0,controller,Unknown,0.333333,2
1601387735,2020-09-29 13:55:35,,,,,,0.0,22.8622,8.180860000000001,128.0,controller,Unknown,0.333333,2
1601387738,2020-09-29 13:55:38,,,,,,1000.0,8.981042,14.377962,633.0,controller,DJI-MAVIC-2-PRO,0.533333,0
1601387738,2020-09-29 13:55:38,738063.7,51.519137,5.857951,31.0,1.0,0.0,13.351817,14.377962,382.0,controller,Unknown,0.36134299999999997,0
1601387742,2020-09-29 13:55:42,,,,,,0.0,23.203513,7.70972,123.0,controller,Unknown,0.266667,1
1601387742,2020-09-29 13:55:42,738063.7,51.519137,5.857951,31.0,2.0,1001.0,33.714363,7.70972,36.0,aircraft,DJI-MAVIC-2-PRO,0.733333,1
1601387744,2020-09-29 13:55:44,738063.7,51.519137,5.857951,31.0,3.0,1001.0,27.563598,91.016983,74.0,aircraft,DJI-MAVIC-2-PRO,0.5,2
1601387744,2020-09-29 13:55:44,,,,,,0.0,20.427747,91.016983,169.0,controller,Unknown,0.43333299999999997,2
1601387747,2020-09-29 13:55:47,738063.7,51.519137,5.857951,31.0,1.0,0.0,24.688758,141.893867,103.0,controller,Unknown,0.353799,0
1601387747,2020-09-29 13:55:47,,,,,,0.0,23.537664000000003,141.893867,118.0,controller,Unknown,0.29076599999999997,0
1601387747,2020-09-29 13:55:47,,,,,,0.0,21.529327,141.893867,149.0,controller,Unknown,0.185089,0
1601387750,2020-09-29 13:55:50,738063.7,51.519137,5.857951,31.0,2.0,1001.0,30.391027,39.700146000000004,53.0,aircraft,DJI-MAVIC-2-PRO,0.4,1
1601387750,2020-09-29 13:55:50,,,,,,0.0,28.191867,39.700146000000004,69.0,controller,Unknown,0.24641500000000002,1
1601387750,2020-09-29 13:55:50,,,,,,0.0,29.533146000000002,39.700146000000004,59.0,controller,Unknown,0.357432,1
