total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation
1601387719,2020-09-29 13:55:19,,0.0,FHSS,,363,active,2440000000.0,ISM 2.4 GHz,1601395891057011.0,1601398221484302.0,146.3,1.0
1601387719,2020-09-29 13:55:19,,1.0,FHSS,DJI Mavic Mini,346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601398221482234.0,146.2,0.8
1601387720,2020-09-29 13:55:20,,1.0,,DJI OcuSync,281474977710676,active,2416500000.0,ISM 2.4 GHz,1601398182191740.0,1601398224115511.0,120.0,1.0
1601387720,2020-09-29 13:55:20,,0.0,FHSS,,363,active,2440000000.0,ISM 2.4 GHz,1601395891057011.0,1601398222469754.0,145.3,0.9
1601387720,2020-09-29 13:55:20,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398224045511.0,112.0,1.0
1601387722,2020-09-29 13:55:22,,0.0,FHSS,,363,active,2440000000.0,ISM 2.4 GHz,1601395891057011.0,1601398223617130.0,140.0,0.0
1601387722,2020-09-29 13:55:22,,1.0,FHSS,DJI Mavic Mini,346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601398223476211.0,142.8,2.1
1601387722,2020-09-29 13:55:22,,1.0,FHSS,DJI Mavic Mini,346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601398223665699.0,140.0,0.0
1601387722,2020-09-29 13:55:22,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398224009126.0,115.7,4.1
1601387725,2020-09-29 13:55:25,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398228750236.0,112.0,1.0
1601387730,2020-09-29 13:55:30,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398234070932.0,119.0,4.0
1601387730,2020-09-29 13:55:30,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398228729130.0,110.4,1.2
1601387731,2020-09-29 13:55:31,,1.0,FHSS,DJI Mavic Mini,346,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601398229510439.0,,
1601387732,2020-09-29 13:55:32,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398233929134.0,115.5,3.8
1601387734,2020-09-29 13:55:34,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398238374892.0,118.0,2.0
1601387737,2020-09-29 13:55:37,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398238329139.0,117.5,0.6
1601387737,2020-09-29 13:55:37,,0.0,FHSS,,349,active,2440000000.0,ISM 2.4 GHz,1601395362446135.0,1601398239135142.0,118.5,0.6
1601387739,2020-09-29 13:55:39,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398243218676.0,119.0,7.0
1601387741,2020-09-29 13:55:41,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398243179139.0,128.7,11.6
1601387743,2020-09-29 13:55:43,,0.0,FHSS,,363,active,2440000000.0,ISM 2.4 GHz,1601395891057011.0,1601398245099905.0,,
1601387744,2020-09-29 13:55:44,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398247591548.0,125.0,7.0
1601387746,2020-09-29 13:55:46,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398247535908.0,126.9,4.5
1601387749,2020-09-29 13:55:49,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398252662139.0,125.0,7.0
1601387751,2020-09-29 13:55:51,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398253005912.0,,
1601387751,2020-09-29 13:55:51,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398252639151.0,133.6,1.3
1601387753,2020-09-29 13:55:53,,0.0,FHSS,,374,active,2440000000.0,ISM 2.4 GHz,1601395664868329.0,1601398254707832.0,104.5,0.0
1601387753,2020-09-29 13:55:53,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398257215247.0,149.0,15.0
1601387754,2020-09-29 13:55:54,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398255729913.0,99.8,2.4
1601387754,2020-09-29 13:55:54,,0.0,FHSS,,374,active,2440000000.0,ISM 2.4 GHz,1601395664868329.0,1601398255742418.0,,
1601387754,2020-09-29 13:55:54,,0.0,FHSS,,378,active,2440000000.0,ISM 2.4 GHz,1601397930345102.0,1601398255404833.0,102.3,0.0
1601387755,2020-09-29 13:55:55,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398256725914.0,,
1601387755,2020-09-29 13:55:55,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398257179915.0,157.5,2.2
1601387755,2020-09-29 13:55:55,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398257485915.0,,
1601387758,2020-09-29 13:55:58,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398261811061.0,149.0,15.0
1601387763,2020-09-29 13:56:03,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398267190204.0,149.0,15.0
1601387764,2020-09-29 13:56:04,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398261778154.0,228.6,0.7
1601387765,2020-09-29 13:56:05,,1.0,FHSS,Hubsan,348,active,2440000000.0,ISM 2.4 GHz,1601395367313144.0,1601398267089163.0,223.8,2.2
1601387768,2020-09-29 13:56:08,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398271775218.0,225.0,4.0
1601387770,2020-09-29 13:56:10,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398271585928.0,231.0,5.9
1601387770,2020-09-29 13:56:10,,1.0,FHSS,DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G,347,active,2440000000.0,ISM 2.4 GHz,1601396627478868.0,1601398271845928.0,,
1601387772,2020-09-29 13:56:12,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398276332921.0,225.0,4.0
1601387777,2020-09-29 13:56:17,,1.0,,DJI OcuSync,281474977710675,active,2446500000.0,ISM 2.4 GHz,1601398154006930.0,1601398280823738.0,225.0,6.0
1601387778,2020-09-29 13:56:18,,0.0,FHSS,,368,active,2440000000.0,ISM 2.4 GHz,1601397198023582.0,1601398280232506.0,198.9,0.0
