latitude,longitude,altitude(m),ultrasonicHeight(m),speed(mps),distance(m),max_altitude(m),max_ascent(m),max_speed(mps),max_distance(m),time(millisecond),datetime(utc),datetime(local),satellites,pressure(Pa),temperature(F),voltage(v),home_latitude,home_longitude,velocityX(mps),velocityY(mps),velocityZ(mps),pitch(deg),roll(deg),yaw(deg),powerlevel,isflying,istakingphoto,remainPowerPercent,remainLifePercent,currentCurrent,currentElectricity,currentVoltage,batteryTemperature,dischargeCount,flightmode,isMotorsOn,isTakingVideo,Rc_elevator,Rc_aileron,Rc_throttle,Rc_rudder,Rc_gyro,timestamp,Battery_Cell1,Battery_Cell2,Battery_Cell3,Battery_Cell4,Battery_Cell5,Battery_Cell6,Dronetype,AppVersion,Planename,FlyControllerSerialNumber,RemoteSerialNumber,BatterySerialNumber,CENTER_BATTERY.productDate,CENTER_BATTERY.serialNo,CENTER_BATTERY.fullCapacity,CENTER_BATTERY.productDateRaw,pitchRaw,rollRaw,yawRaw,gimbalPitchRaw,gimbalRollRaw,gimbalYawRaw,flyState,altitudeRaw,speedRaw,distanceRaw,velocityXRaw,velocityYRaw,velocityZRaw,data_reuse,App_Tip,App_Warning,downlinkSignalQuality,uplinkSignalQuality,transmissionChannel,rcModeSwitch,rcHome,rcPause,rcTransform,rcJoystickMode,appMode,FlyControllerSerialNumber_legacy,RemoteSerialNumber_legacy,BatterySerialNumber_legacy,Battery2SerialNumber,frontAvoidDist,backAvoidDist,isBrakingToAvoid
51.519522,5.858087,0.20,0.00,2.60,0.12,0.20,0.20,2.60,0.12,0,2020-09-29 13:18:15.125,2020-09-29 15:18:15.125,19,0,0,12.713,51.519521,5.858086,0.00,0.00,-2.60,-1.50,1.70,157.40,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495124,4229,4225,4224,0,0,0,13,Litchi_iOS_2.8.0,aladrian-MAVIC PRO,08RDEAJP01043R,08XUEB30061XN3,093AEB303309LC,,0,3760,0,15.00,17.00,1574.00,0.00,0.00,1581.00,6,2.00,26.00,1.24,0.00,0.00,-26.00,0,,,100,100,0,1,0,0,0,0,0,(null),(null),(null),(null),0.0,0.0,0
51.519522,5.858087,0.40,0.00,2.70,0.14,0.40,0.40,2.70,0.14,116,2020-09-29 13:18:15.240,2020-09-29 15:18:15.240,19,0,0,12.713,51.519521,5.858086,0.00,0.00,-2.70,-0.20,1.80,157.40,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495240,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,2.00,18.00,1574.00,0.00,0.00,1581.00,6,4.00,27.00,1.37,0.00,0.00,-27.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519522,5.858087,0.70,1.50,3.10,0.15,0.70,0.70,3.10,0.15,213,2020-09-29 13:18:15.338,2020-09-29 15:18:15.338,19,0,0,12.713,51.519521,5.858086,0.00,0.00,-3.10,-0.10,1.50,157.60,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495337,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,1.00,15.00,1576.00,0.00,0.00,1581.00,6,7.00,31.00,1.49,0.00,0.00,-31.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519522,5.858087,1.10,1.90,3.50,0.16,1.10,1.10,3.50,0.16,298,2020-09-29 13:18:15.422,2020-09-29 15:18:15.422,18,0,0,12.713,51.519521,5.858086,0.00,0.00,-3.50,-0.60,2.00,157.60,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495422,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,6.00,20.00,1576.00,0.00,0.00,1581.00,6,11.00,35.00,1.57,0.00,0.00,-35.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519522,5.858087,1.40,2.30,3.80,0.17,1.40,1.40,3.80,0.17,416,2020-09-29 13:18:15.540,2020-09-29 15:18:15.540,18,0,0,12.713,51.519521,5.858086,0.10,0.00,-3.80,-1.40,1.60,157.70,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495540,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,14.00,16.00,1577.00,0.00,0.00,1581.00,6,14.00,38.01,1.65,1.00,0.00,-38.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519522,5.858087,1.80,2.70,4.00,0.17,1.80,1.80,4.00,0.17,502,2020-09-29 13:18:15.626,2020-09-29 15:18:15.626,19,0,0,12.713,51.519521,5.858086,0.10,0.00,-4.00,-1.70,1.10,157.80,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495626,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,17.00,11.00,1578.00,0.00,0.00,1581.00,6,18.00,40.01,1.71,1.00,0.00,-40.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519522,5.858087,2.30,3.10,4.10,0.18,2.30,2.30,4.10,0.18,590,2020-09-29 13:18:15.715,2020-09-29 15:18:15.715,19,0,0,12.713,51.519521,5.858086,0.10,0.00,-4.10,-2.50,1.00,157.90,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495714,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,25.00,10.00,1579.00,0.00,0.00,1581.00,6,23.00,41.01,1.80,1.00,0.00,-41.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519523,5.858087,2.70,3.50,4.10,0.20,2.70,2.70,4.10,0.20,701,2020-09-29 13:18:15.825,2020-09-29 15:18:15.825,19,0,0,12.713,51.519521,5.858086,0.00,0.00,-4.10,-2.60,1.20,157.90,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,660,0,0,1601385495825,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,26.00,12.00,1579.00,0.00,0.00,1581.00,6,27.00,41.00,2.00,0.00,0.00,-41.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519523,5.858087,3.10,3.90,4.10,0.22,3.10,3.10,4.10,0.22,791,2020-09-29 13:18:15.915,2020-09-29 15:18:15.915,19,0,0,12.713,51.519521,5.858086,0.00,0.00,-4.10,-2.70,1.40,157.90,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,0,0,0,1601385495915,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,27.00,14.00,1579.00,0.00,0.00,1581.00,6,31.00,41.00,2.19,0.00,0.00,-41.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
51.519523,5.858087,3.50,4.40,4.00,0.24,3.50,3.50,4.10,0.24,900,2020-09-29 13:18:16.024,2020-09-29 15:18:16.025,18,0,0,12.713,51.519521,5.858086,0.00,0.00,-4.00,-2.90,1.80,158.10,0,1,0,97,100,-3836,3677,12713,2961.50,7,GPS,1,0,0,0,0,0,0,1601385496024,4229,4225,4224,0,0,0,13,,,,,,,0,0,0,29.00,18.00,1581.00,0.00,0.00,1581.00,6,35.00,40.00,2.35,0.00,0.00,-40.00,0,,,100,100,0,1,0,0,0,0,0,,,,,0.0,0.0,0
