total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_type,DianaTargetsTargetClassification_model,DianaTargetsTargetClassification_score,channels
1601385497,2020-09-29 13:18:17,,,,,,12000.0,20.003698,98.754061,177.0,controller,DJI-MAVIC-PRO-PLATINUM,0.466667,0
1601385497,2020-09-29 13:18:17,738063.6,51.519137,5.857951,31.0,1.0,1.0,33.204758,98.754061,38.0,aircraft,Unknown,0.23333299999999998,0
1601385500,2020-09-29 13:18:20,738063.6,51.519137,5.857951,31.0,2.0,1.0,28.941896999999997,99.94364300000001,63.0,aircraft,Unknown,0.466667,1
1601385500,2020-09-29 13:18:20,,,,,,0.0,14.228722,99.94364300000001,346.0,controller,Unknown,0.147574,1
1601385500,2020-09-29 13:18:20,,,,,,0.0,7.036888,99.94364300000001,791.0,controller,Unknown,0.333333,1
1601385502,2020-09-29 13:18:22,738063.6,51.519137,5.857951,31.0,3.0,0.0,19.546206,92.68128100000001,187.0,controller,Unknown,0.282458,2
1601385505,2020-09-29 13:18:25,738063.6,51.519137,5.857951,31.0,1.0,12001.0,34.458129,94.901342,33.0,aircraft,DJI-MAVIC-PRO-PLATINUM,0.633333,0
1601385509,2020-09-29 13:18:29,738063.6,51.519137,5.857951,31.0,2.0,11001.0,18.858635,26.950621999999996,203.0,aircraft,Parrot-ANAFI,1.0,1
1601385509,2020-09-29 13:18:29,,,,,,12000.0,24.756714000000002,26.950621999999996,102.0,controller,DJI-MAVIC-PRO-PLATINUM,0.833333,1
1601385509,2020-09-29 13:18:29,,,,,,12000.0,23.38063,26.950621999999996,120.0,controller,DJI-MAVIC-PRO-PLATINUM,0.389309,1
1601385511,2020-09-29 13:18:31,738063.6,51.519137,5.857951,31.0,3.0,,,,,,,,2
1601385514,2020-09-29 13:18:34,738063.6,51.519137,5.857951,31.0,1.0,1001.0,36.897677,13.079016000000001,25.0,aircraft,DJI-MAVIC-2-PRO,0.333333,0
1601385518,2020-09-29 13:18:38,738063.6,51.519137,5.857951,31.0,2.0,12000.0,30.670001,96.189115,52.0,controller,DJI-MAVIC-PRO-PLATINUM,0.6,1
1601385518,2020-09-29 13:18:38,,,,,,12000.0,30.612806,96.189115,52.0,controller,DJI-MAVIC-PRO-PLATINUM,0.40737399999999996,1
1601385518,2020-09-29 13:18:38,,,,,,12000.0,30.315903999999996,96.189115,54.0,controller,DJI-MAVIC-PRO-PLATINUM,0.385855,1
1601385521,2020-09-29 13:18:41,738063.6,51.519137,5.857951,31.0,3.0,12000.0,27.879609000000002,12.115391,71.0,controller,DJI-MAVIC-PRO-PLATINUM,0.409915,2
1601385521,2020-09-29 13:18:41,,,,,,0.0,15.223873000000001,12.115391,308.0,controller,Unknown,0.176103,2
1601385524,2020-09-29 13:18:44,738063.6,51.519137,5.857951,31.0,1.0,12001.0,29.43107100000001,41.760414000000004,60.0,aircraft,DJI-MAVIC-PRO-PLATINUM,0.533333,0
1601385524,2020-09-29 13:18:44,,,,,,0.0,22.779743,41.760414000000004,129.0,controller,Unknown,0.266667,0
1601385524,2020-09-29 13:18:44,,,,,,0.0,20.524306,41.760414000000004,167.0,controller,Unknown,0.20949099999999998,0
1601385527,2020-09-29 13:18:47,,,,,,12000.0,24.855667,94.794907,101.0,controller,DJI-MAVIC-PRO-PLATINUM,0.37658200000000003,1
