total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation
1601456468,2020-09-30 09:01:08,,1.0,FHSS,DJI Mavic Pro short,98,active,2440000000.0,ISM 2.4 GHz,1601464909738671.0,1601464997779136.0,60.3,1.5
1601456468,2020-09-30 09:01:08,,1.0,,DJI OcuSync,281474977710663,active,2466500000.0,ISM 2.4 GHz,1601464385149123.0,1601465000377027.0,57.0,2.0
1601456468,2020-09-30 09:01:08,,1.0,,DJI OcuSync,281474977710665,active,2406500000.0,ISM 2.4 GHz,1601464905668912.0,1601465000267027.0,56.0,2.0
1601456468,2020-09-30 09:01:08,,1.0,FHSS,"DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",97,active,2440000000.0,ISM 2.4 GHz,1601463442979672.0,1601464997775208.0,61.2,1.3
1601456469,2020-09-30 09:01:09,,0.0,FHSS,,99,active,2440000000.0,ISM 2.4 GHz,1601463219650685.0,1601464998754562.0,60.3,1.6
1601456469,2020-09-30 09:01:09,,1.0,FHSS,"DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",97,active,2440000000.0,ISM 2.4 GHz,1601463442979672.0,1601464998765208.0,58.8,13.4
1601456469,2020-09-30 09:01:09,,0.0,FHSS,,91,active,2440000000.0,ISM 2.4 GHz,1601462886278761.0,1601464998330698.0,58.2,0.0
1601456470,2020-09-30 09:01:10,,0.0,FHSS,,99,active,2440000000.0,ISM 2.4 GHz,1601463219650685.0,1601464999935209.0,61.9,1.3
1601456473,2020-09-30 09:01:13,,1.0,,DJI OcuSync,281474977710663,active,2466500000.0,ISM 2.4 GHz,1601464385149123.0,1601465004614588.0,57.0,2.0
1601456473,2020-09-30 09:01:13,,1.0,,DJI OcuSync,281474977710665,active,2406500000.0,ISM 2.4 GHz,1601464905668912.0,1601465004524588.0,56.0,2.0
1601456475,2020-09-30 09:01:15,,1.0,FHSS,DJI Mavic Pro short,98,active,2440000000.0,ISM 2.4 GHz,1601464909738671.0,1601465004939140.0,,
1601456476,2020-09-30 09:01:16,,0.0,FHSS,,74,active,2440000000.0,ISM 2.4 GHz,1601462520741364.0,1601465006091935.0,55.3,0.0
1601456476,2020-09-30 09:01:16,,0.0,FHSS,,86,active,2440000000.0,ISM 2.4 GHz,1601464127875244.0,1601465005709836.0,,
1601456476,2020-09-30 09:01:16,,1.0,FHSS,"DJI Mavic Pro long, DJI Phantom 4 Pro+ V2.0 / Mavic Pro V2.0 2.4G",97,active,2440000000.0,ISM 2.4 GHz,1601463442979672.0,1601465006125210.0,68.4,11.4
1601456476,2020-09-30 09:01:16,,1.0,FHSS,DJI Mavic Pro short,98,active,2440000000.0,ISM 2.4 GHz,1601464909738671.0,1601465006099139.0,71.0,8.8
1601456477,2020-09-30 09:01:17,,1.0,,DJI OcuSync,281474977710663,active,2466500000.0,ISM 2.4 GHz,1601464385149123.0,1601465008711791.0,43.0,2.0
1601456477,2020-09-30 09:01:17,,1.0,,DJI OcuSync,281474977710665,active,2406500000.0,ISM 2.4 GHz,1601464905668912.0,1601465008621791.0,56.0,2.0
1601456478,2020-09-30 09:01:18,,1.0,FHSS,DJI Mavic Pro short,98,active,2440000000.0,ISM 2.4 GHz,1601464909738671.0,1601465007119139.0,80.0,1.1
1601456478,2020-09-30 09:01:18,,1.0,FHSS,DJI Mavic Pro short,98,active,2440000000.0,ISM 2.4 GHz,1601464909738671.0,1601465008229140.0,,
