,time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,gimbal_heading(degrees),gimbal_pitch(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message,datetime(local),altitude(m)
0,31,2020-09-29 11:58:31,51.519690387728204,5.85848809558422,0.0,0.0,82.41470079999999,98.542162930252,0,0.0,0.0,0,0,0,98.542162930252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1024,1024,1024,1024,0,0,95,,,,,,,0,32,98.542162930252,0.0,6,P-GPS,,2020-09-29 13:58:31,30.035651261140814
1,84,2020-09-29 11:58:31,51.51969818844339,5.858490065011389,0.0,0.098425200000004,82.3162756,98.542162930252,0,0.0,2.88099090584,0,0,0,98.542162930252,0.0,0.0,2.88099090584,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1024,1024,1024,1024,0,0,95,,,,,,,0,32,98.542162930252,0.0,6,P-GPS,,2020-09-29 13:58:31,30.035651261140814
2,91,2020-09-29 11:58:31,51.51969818844339,5.858490065011389,0.0,0.098425200000004,82.3162756,98.542162930252,0,0.0,2.88099090584,13,0,0,98.542162930252,0.0,0.0,2.88099090584,0.0,0.0,0.0,0.0,0.0,0.0,0,0,1024,1024,1024,1024,0,0,95,,,,,,,0,32,98.542162930252,0.0,6,P-GPS,,2020-09-29 13:58:31,30.035651261140814
3,285,2020-09-29 11:58:31,51.51969818844339,5.858490065011389,-1.59448824,-1.49606304,82.3162756,96.947674690252,0,1.92701643688,2.88099090584,13,0,0,98.542162930252,0.0,1.92701643688,2.88099090584,0.223694,0.0,0.0,35.0,-12.0,-4.3,0,0,1024,1024,1024,1024,0,0,95,,,,,,,0,32,96.947674690252,-1.59448824,6,P-GPS,,2020-09-29 13:58:31,29.549651245588812
4,348,2020-09-29 11:58:31,51.51969818844339,5.858490065011389,-1.59448824,-1.49606304,82.3162756,96.947674690252,0,1.92701643688,2.88099090584,13,0,0,98.542162930252,0.0,1.92701643688,2.88099090584,0.223694,0.0,0.0,35.0,-12.0,-4.3,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,96.947674690252,-1.59448824,6,P-GPS,,2020-09-29 13:58:31,29.549651245588812
5,365,2020-09-29 11:58:31,51.51969818844339,5.858490065011389,-1.59448824,-1.49606304,82.3162756,96.947674690252,0,1.92701643688,2.88099090584,13,0,0,98.542162930252,0.0,1.92701643688,2.88099090584,0.223694,0.0,0.0,35.0,-12.0,-4.3,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,96.947674690252,-1.59448824,6,P-GPS,,2020-09-29 13:58:31,29.549651245588812
6,484,2020-09-29 11:58:31,51.51969818844339,5.858490065011389,-1.51574808,-1.41732288,82.3162756,97.026414850252,0,2.08527994188,2.88099090584,13,0,0,98.542162930252,0.0,2.08527994188,2.88099090584,0.223694,0.0,0.0,34.3,-8.8,-5.6,0,0,1024,1024,1024,1024,0,0,94,,,,,,,0,32,97.026414850252,-1.51574808,6,P-GPS,,2020-09-29 13:58:31,29.57365124635681
14,1462,2020-09-29 11:58:32,51.5197047827471,5.85849256273662,-0.20669292,-0.0098425199999925,82.2178504,98.335470010252,0,0.6122035022600001,5.3490487276,14,0,0,98.542162930252,0.0,2.585678946,5.3490487276,0.0,0.0,0.0,45.9,-12.9,-11.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,98.335470010252,-0.20669292,6,P-GPS,,2020-09-29 13:58:32,29.97265125912481
13,1424,2020-09-29 11:58:32,51.5197047827471,5.85849256273662,-0.20669292,-0.0098425199999925,82.2178504,98.335470010252,0,0.6122035022600001,5.3490487276,14,0,0,98.542162930252,0.0,2.585678946,5.3490487276,0.0,0.0,0.0,45.9,-12.9,-11.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,98.335470010252,-0.20669292,6,P-GPS,,2020-09-29 13:58:32,29.97265125912481
12,1393,2020-09-29 11:58:32,51.5197047827471,5.85849256273662,-0.20669292,-0.0098425199999925,82.2178504,98.335470010252,0,0.6122035022600001,5.3490487276,14,0,0,98.542162930252,0.0,2.585678946,5.3490487276,0.0,0.0,0.0,45.9,-12.9,-11.2,0,0,1024,1024,1024,1024,0,0,93,,,,,,,0,32,98.335470010252,-0.20669292,6,P-GPS,,2020-09-29 13:58:32,29.97265125912481
