total in seconds,datetime(utc),channels,AlviraPotentialDronePlots_timestamp,AlviraPotentialDronPlot_id,AlviraPotentialDronPlot_rcs,AlviraPotentiaDronPlotsPlot_timestamp,AlviraPotentiaDronPlotPlotPosition_altitude,AlviraPotentialDronPlotsPlotPosition_latitude,AlviraPotentialDronPlotsPlotPosition_longitude,AlviraTracks_timestamp,AlviraTracksTrack_id,AlviraTracksTrack_Timestamp,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Classification,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,AlviraSystemStatus_timestamp,AlviraSystemStatus_Name,AlviraSystemStatus_Version,AlviraSystemStatus_OperationalState,AlviraSystemStatusSensor_Name,AlviraSystemStatusSensor_Version,AlviraSystemStatusSensor_OperationalState,AlviraSystemStatusSensorPosition_Latitude,AlviraSystemStatusSensorPosition_Longitude,AlviraSystemStatusSensorPosition_Altitude,AlviraSystemStatusSensorStatusOrientetation_Azimuth,AlviraSystemStatusSensorStatusOrientetation_Elevation,AlviraSystemStatusSensorStatus_SensorType,AlviraSystemStatusSensorStatusBlankSector_Angle,AlviraSystemStatusSensorStatusBlankSector_Span,AlviraSystemStatusSensorStatusProcessing_Sensitivity,SystemStatusSensorStatus_Messages
1601380711,2020-09-29 11:58:31,,,,,,,,,2020-09-29T11:58:31.731Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380712,2020-09-29 11:58:32,,,,,,,,,2020-09-29T11:58:33.043Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380714,2020-09-29 11:58:34,,,,,,,,,2020-09-29T11:58:34.347Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380715,2020-09-29 11:58:35,,,,,,,,,2020-09-29T11:58:35.653Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380716,2020-09-29 11:58:36,,,,,,,,,2020-09-29T11:58:36.959Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380718,2020-09-29 11:58:38,,,,,,,,,2020-09-29T11:58:38.271Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380719,2020-09-29 11:58:39,,,,,,,,,2020-09-29T11:58:39.577Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380720,2020-09-29 11:58:40,,,,,,,,,2020-09-29T11:58:40.881Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380721,2020-09-29 11:58:41,,,,,,,,,,,,,,,,,,,,,,2020-09-29T11:58:42.144Z,Elvira,2.2.4 (REL-2.2.x 22467),operational,Elvira Search,2.2.4 (REL-2.2.x 22467),operational,51.52126391,5.85862734,5.0,,,SearchRadar,0.0,0.0,,
1601380722,2020-09-29 11:58:42,,,,,,,,,2020-09-29T11:58:42.193Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380723,2020-09-29 11:58:43,,,,,,,,,2020-09-29T11:58:43.499Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380724,2020-09-29 11:58:44,,,,,,,,,2020-09-29T11:58:44.806Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380725,2020-09-29 11:58:45,,,,,,,,,2020-09-29T11:58:46.116Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380727,2020-09-29 11:58:47,,,,,,,,,2020-09-29T11:58:47.422Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380728,2020-09-29 11:58:48,,,,,,,,,2020-09-29T11:58:48.729Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380729,2020-09-29 11:58:49,,,,,,,,,2020-09-29T11:58:50.040Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380731,2020-09-29 11:58:51,,,,,,,,,2020-09-29T11:58:51.343Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380732,2020-09-29 11:58:52,,,,,,,,,2020-09-29T11:58:52.649Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380733,2020-09-29 11:58:53,,,,,,,,,2020-09-29T11:58:53.956Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380735,2020-09-29 11:58:55,,,,,,,,,2020-09-29T11:58:55.266Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380736,2020-09-29 11:58:56,,,,,,,,,2020-09-29T11:58:56.573Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380737,2020-09-29 11:58:57,,,,,,,,,2020-09-29T11:58:57.880Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380739,2020-09-29 11:58:59,,,,,,,,,2020-09-29T11:58:59.190Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380740,2020-09-29 11:59:00,,,,,,,,,2020-09-29T11:59:00.496Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380741,2020-09-29 11:59:01,,,,,,,,,2020-09-29T11:59:01.799Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380742,2020-09-29 11:59:02,,,,,,,,,2020-09-29T11:59:03.113Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380744,2020-09-29 11:59:04,,,,,,,,,2020-09-29T11:59:04.420Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380745,2020-09-29 11:59:05,,,,,,,,,2020-09-29T11:59:05.722Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380746,2020-09-29 11:59:06,,,,,,,,,2020-09-29T11:59:07.035Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380748,2020-09-29 11:59:08,,,,,,,,,2020-09-29T11:59:08.340Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380749,2020-09-29 11:59:09,,,,,,,,,2020-09-29T11:59:09.646Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380750,2020-09-29 11:59:10,,,,,,,,,2020-09-29T11:59:10.958Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380752,2020-09-29 11:59:12,,,,,,,,,2020-09-29T11:59:12.264Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380753,2020-09-29 11:59:13,,,,,,,,,2020-09-29T11:59:13.568Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380754,2020-09-29 11:59:14,,,,,,,,,2020-09-29T11:59:14.874Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380756,2020-09-29 11:59:16,,,,,,,,,2020-09-29T11:59:16.185Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380757,2020-09-29 11:59:17,,,,,,,,,2020-09-29T11:59:17.493Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380758,2020-09-29 11:59:18,,,,,,,,,2020-09-29T11:59:18.798Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380759,2020-09-29 11:59:19,,,,,,,,,2020-09-29T11:59:20.107Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380761,2020-09-29 11:59:21,,,,,,,,,2020-09-29T11:59:21.412Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380762,2020-09-29 11:59:22,,,,,,,,,2020-09-29T11:59:22.721Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380763,2020-09-29 11:59:23,,,,,,,,,2020-09-29T11:59:24.025Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380765,2020-09-29 11:59:25,,,,,,,,,2020-09-29T11:59:25.336Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380766,2020-09-29 11:59:26,,,,,,,,,2020-09-29T11:59:26.643Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380767,2020-09-29 11:59:27,,,,,,,,,2020-09-29T11:59:27.950Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380769,2020-09-29 11:59:29,,,,,,,,,2020-09-29T11:59:29.259Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380770,2020-09-29 11:59:30,,,,,,,,,2020-09-29T11:59:30.566Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380771,2020-09-29 11:59:31,,,,,,,,,2020-09-29T11:59:31.871Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380773,2020-09-29 11:59:33,,,,,,,,,2020-09-29T11:59:33.175Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380774,2020-09-29 11:59:34,,,,,,,,,2020-09-29T11:59:34.489Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380775,2020-09-29 11:59:35,,,,,,,,,2020-09-29T11:59:35.794Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380776,2020-09-29 11:59:36,,,,,,,,,2020-09-29T11:59:37.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380778,2020-09-29 11:59:38,,,,,,,,,2020-09-29T11:59:38.409Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380779,2020-09-29 11:59:39,,,,,,,,,2020-09-29T11:59:39.717Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380780,2020-09-29 11:59:40,,,,,,,,,2020-09-29T11:59:41.021Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380781,2020-09-29 11:59:41,,,,,,,,,,,,,,,,,,,,,,2020-09-29T11:59:42.143Z,Elvira,2.2.4 (REL-2.2.x 22467),operational,Elvira Search,2.2.4 (REL-2.2.x 22467),operational,51.52126391,5.85862734,5.0,,,SearchRadar,0.0,0.0,,
1601380782,2020-09-29 11:59:42,,,,,,,,,2020-09-29T11:59:42.328Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380783,2020-09-29 11:59:43,,,,,,,,,2020-09-29T11:59:43.639Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380784,2020-09-29 11:59:44,,,,,,,,,2020-09-29T11:59:44.948Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380786,2020-09-29 11:59:46,,,,,,,,,2020-09-29T11:59:46.250Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380787,2020-09-29 11:59:47,,,,,,,,,2020-09-29T11:59:47.562Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380788,2020-09-29 11:59:48,,,,,,,,,2020-09-29T11:59:48.869Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380790,2020-09-29 11:59:50,,,,,,,,,2020-09-29T11:59:50.173Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380791,2020-09-29 11:59:51,,,,,,,,,2020-09-29T11:59:51.510Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380792,2020-09-29 11:59:52,,,,,,,,,2020-09-29T11:59:52.790Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380793,2020-09-29 11:59:53,,,,,,,,,2020-09-29T11:59:54.102Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380795,2020-09-29 11:59:55,,,,,,,,,2020-09-29T11:59:55.401Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380796,2020-09-29 11:59:56,,,,,,,,,2020-09-29T11:59:56.713Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380797,2020-09-29 11:59:57,,,,,,,,,2020-09-29T11:59:58.021Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380799,2020-09-29 11:59:59,,,,,,,,,2020-09-29T11:59:59.330Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380800,2020-09-29 12:00:00,,,,,,,,,2020-09-29T12:00:00.640Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1601380801,2020-09-29 12:00:01,,,,,,,,,2020-09-29T12:00:01.940Z,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
