total in seconds,datetime(utc),Diana_time,DianaSensorPosition_latitude_deg,DianaSensorPosition_longitude_deg,DianaSensorPosition_altitude_m,DianaTargets_band,DianaTarget_ID,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_type,DianaTargetsTargetClassification_model,DianaTargetsTargetClassification_score,channels
1601380713,2020-09-29 11:58:33,738063.6,51.519137,5.857951,31.0,2.0,1.0,15.125144,81.145512,312.0,aircraft,Unknown,0.333333,1
1601380713,2020-09-29 11:58:33,,,,,,0.0,18.776310000000002,81.145512,204.0,controller,Unknown,0.233713,1
1601380713,2020-09-29 11:58:33,,,,,,0.0,7.804950999999999,81.145512,724.0,controller,Unknown,0.23333299999999998,1
1601380715,2020-09-29 11:58:35,738063.6,51.519137,5.857951,31.0,3.0,0.0,9.984961,115.25396599999999,563.0,controller,Unknown,0.170476,2
1601380718,2020-09-29 11:58:38,738063.6,51.519137,5.857951,31.0,1.0,,,,,,,,0
1601380725,2020-09-29 11:58:45,,,,,,0.0,8.22658,80.246889,690.0,controller,Unknown,0.0,2
1601380725,2020-09-29 11:58:45,,,,,,0.0,9.935596,80.246889,567.0,controller,Unknown,0.266667,2
1601380725,2020-09-29 11:58:45,738063.6,51.519137,5.857951,31.0,3.0,0.0,12.788903999999999,80.246889,408.0,controller,Unknown,0.0,2
1601380728,2020-09-29 11:58:48,738063.6,51.519137,5.857951,31.0,1.0,0.0,23.440388000000002,13.330793,119.0,controller,Unknown,0.208467,0
1601380728,2020-09-29 11:58:48,,,,,,0.0,10.019076,13.330793,561.0,controller,Unknown,0.170676,0
1601380730,2020-09-29 11:58:50,738063.6,51.519137,5.857951,31.0,2.0,11001.0,17.819156,2.138895,228.0,aircraft,Parrot-ANAFI,0.733333,1
1601380733,2020-09-29 11:58:53,738063.6,51.519137,5.857951,31.0,3.0,0.0,15.833086999999999,80.43739000000002,287.0,controller,Unknown,0.21254099999999998,2
1601380736,2020-09-29 11:58:56,738063.6,51.519137,5.857951,31.0,1.0,0.0,10.687125,19.592942,520.0,controller,Unknown,0.20786500000000002,0
1601380739,2020-09-29 11:58:59,738063.6,51.519137,5.857951,31.0,2.0,11001.0,17.300762,32.55073400000001,242.0,aircraft,Parrot-ANAFI,0.5,1
1601380743,2020-09-29 11:59:03,738063.6,51.519137,5.857951,31.0,3.0,1.0,15.280192000000001,80.411648,306.0,aircraft,Unknown,0.24111300000000002,2
1601380743,2020-09-29 11:59:03,,,,,,0.0,9.777152000000001,80.411648,577.0,controller,Unknown,0.181176,2
1601380745,2020-09-29 11:59:05,738063.6,51.519137,5.857951,31.0,1.0,0.0,23.801772,15.19956,114.0,controller,Unknown,0.366667,0
1601380748,2020-09-29 11:59:08,738063.6,51.519137,5.857951,31.0,2.0,1.0,12.584348,48.052454,418.0,aircraft,Unknown,0.366667,1
1601380752,2020-09-29 11:59:12,738063.6,51.519137,5.857951,31.0,3.0,1.0,16.455354,80.31773299999998,267.0,aircraft,Unknown,0.4,2
1601380752,2020-09-29 11:59:12,,,,,,0.0,12.674938000000001,80.31773299999998,413.0,controller,Unknown,0.181649,2
1601380752,2020-09-29 11:59:12,,,,,,0.0,10.260666,80.31773299999998,546.0,controller,Unknown,0.0,2
1601380755,2020-09-29 11:59:15,738063.6,51.519137,5.857951,31.0,1.0,0.0,12.24677,107.371857,434.0,controller,Unknown,0.307865,0
1601380755,2020-09-29 11:59:15,,,,,,0.0,10.002832000000001,107.371857,562.0,controller,Unknown,0.197621,0
1601380755,2020-09-29 11:59:15,,,,,,0.0,7.610436999999999,107.371857,741.0,controller,Unknown,0.17589000000000002,0
1601380758,2020-09-29 11:59:18,738063.6,51.519137,5.857951,31.0,2.0,1.0,12.190539,57.21791700000001,437.0,aircraft,Unknown,0.333333,1
1601380758,2020-09-29 11:59:18,,,,,,1.0,10.743945,57.21791700000001,516.0,aircraft,Unknown,0.333333,1
1601380760,2020-09-29 11:59:20,738063.6,51.519137,5.857951,31.0,3.0,,,,,,,,2
1601380764,2020-09-29 11:59:24,738063.6,51.519137,5.857951,31.0,1.0,0.0,15.2523,23.162679,307.0,controller,Unknown,0.20880500000000002,0
1601380764,2020-09-29 11:59:24,,,,,,0.0,11.454895,23.162679,476.0,controller,Unknown,0.176033,0
1601380767,2020-09-29 11:59:27,738063.6,51.519137,5.857951,31.0,2.0,1.0,24.231448999999998,87.722491,109.0,aircraft,Unknown,0.366667,1
1601380767,2020-09-29 11:59:27,,,,,,0.0,8.308259,87.722491,684.0,controller,Unknown,0.366667,1
1601380770,2020-09-29 11:59:30,738063.6,51.519137,5.857951,31.0,3.0,0.0,9.561342,79.86958299999998,592.0,controller,Unknown,0.170739,2
1601380770,2020-09-29 11:59:30,,,,,,0.0,9.246217999999999,79.86958299999998,614.0,controller,Unknown,0.333333,2
1601380773,2020-09-29 11:59:33,738063.6,51.519137,5.857951,31.0,1.0,0.0,28.400788000000002,29.646521000000003,67.0,controller,Unknown,0.266667,0
1601380773,2020-09-29 11:59:33,,,,,,1.0,13.513798999999999,29.646521000000003,375.0,aircraft,Unknown,0.366667,0
1601380773,2020-09-29 11:59:33,,,,,,0.0,9.266763000000001,29.646521000000003,612.0,controller,Unknown,0.3,0
1601380776,2020-09-29 11:59:36,,,,,,11000.0,7.716361,44.833556,732.0,controller,Parrot-ANAFI,0.566667,1
1601380776,2020-09-29 11:59:36,738063.6,51.519137,5.857951,31.0,2.0,11000.0,8.220657000000001,44.833556,691.0,controller,Parrot-ANAFI,0.533333,1
1601380776,2020-09-29 11:59:36,,,,,,0.0,9.004068,44.833556,631.0,controller,Unknown,0.466667,1
1601380779,2020-09-29 11:59:39,738063.6,51.519137,5.857951,31.0,3.0,11001.0,31.503234999999997,35.430417999999996,47.0,aircraft,Parrot-ANAFI,0.6,2
1601380782,2020-09-29 11:59:42,738063.6,51.519137,5.857951,31.0,1.0,0.0,17.120881,26.465478000000004,248.0,controller,Unknown,0.0,0
1601380782,2020-09-29 11:59:42,,,,,,0.0,15.292504000000001,26.465478000000004,306.0,controller,Unknown,0.2,0
1601380782,2020-09-29 11:59:42,,,,,,0.0,9.354716999999999,26.465478000000004,606.0,controller,Unknown,0.0,0
1601380785,2020-09-29 11:59:45,,,,,,0.0,7.909539,82.042334,716.0,controller,Unknown,0.333333,1
1601380785,2020-09-29 11:59:45,738063.6,51.519137,5.857951,31.0,2.0,1.0,12.946141,82.042334,401.0,aircraft,Unknown,0.2,1
1601380785,2020-09-29 11:59:45,,,,,,0.0,9.029916,82.042334,629.0,controller,Unknown,0.2,1
1601380787,2020-09-29 11:59:47,738063.6,51.519137,5.857951,31.0,3.0,,,,,,,,2
1601380791,2020-09-29 11:59:51,738063.6,51.519137,5.857951,31.0,1.0,11001.0,14.873778,-0.42691999999999997,321.0,aircraft,Parrot-ANAFI,0.666667,0
1601380791,2020-09-29 11:59:51,,,,,,0.0,14.010391,-0.42691999999999997,354.0,controller,Unknown,0.193877,0
1601380794,2020-09-29 11:59:54,738063.6,51.519137,5.857951,31.0,2.0,1.0,12.866608,82.71804499999998,404.0,aircraft,Unknown,0.3,1
1601380794,2020-09-29 11:59:54,,,,,,0.0,13.547981,82.71804499999998,374.0,controller,Unknown,0.0,1
1601380794,2020-09-29 11:59:54,,,,,,0.0,19.616378,82.71804499999998,186.0,controller,Unknown,0.43333299999999997,1
1601380797,2020-09-29 11:59:57,738063.6,51.519137,5.857951,31.0,3.0,0.0,14.883507,32.714155,320.0,controller,Unknown,0.366667,2
1601380797,2020-09-29 11:59:57,,,,,,0.0,14.771664000000001,32.714155,325.0,controller,Unknown,0.199762,2
1601380797,2020-09-29 11:59:57,,,,,,0.0,14.657343,32.714155,329.0,controller,Unknown,0.266667,2
1601380800,2020-09-29 12:00:00,,,,,,0.0,15.647198000000001,15.741667999999999,293.0,controller,Unknown,0.145645,0
1601380800,2020-09-29 12:00:00,738063.6,51.519137,5.857951,31.0,1.0,0.0,21.529553,15.741667999999999,149.0,controller,Unknown,0.466667,0
