total in seconds,datetime(utc),channels,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation
1601380711,2020-09-29 11:58:31,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391212344898.0,,
1601380711,2020-09-29 11:58:31,,1.0,FHSS,"AscTec Falcon 8 Downlink, DJI Mavic Mini",185,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391212389554.0,169.1,0.6
1601380712,2020-09-29 11:58:32,,0.0,FHSS,,189,active,2440000000.0,ISM 2.4 GHz,1601391130512419.0,1601391213573616.0,159.6,0.0
1601380712,2020-09-29 11:58:32,,1.0,FHSS,"AscTec Falcon 8 Downlink, DJI Mavic Mini",185,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391213589751.0,,
1601380719,2020-09-29 11:58:39,,1.0,FHSS,"AscTec Falcon 8 Downlink, DJI Mavic Mini",185,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391220797104.0,325.2,0.0
1601380719,2020-09-29 11:58:39,,0.0,FHSS,,188,active,2440000000.0,ISM 2.4 GHz,1601390327937672.0,1601391220787847.0,349.8,15.0
1601380720,2020-09-29 11:58:40,,0.0,FHSS,,189,active,2440000000.0,ISM 2.4 GHz,1601391130512419.0,1601391221789464.0,59.2,15.0
1601380720,2020-09-29 11:58:40,,1.0,FHSS,"AscTec Falcon 8 Downlink, DJI Mavic Mini",185,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391221793227.0,,
1601380721,2020-09-29 11:58:41,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391223303560.0,185.8,0.0
1601380722,2020-09-29 11:58:42,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391223799448.0,,
1601380726,2020-09-29 11:58:46,,0.0,FHSS,,188,active,2440000000.0,ISM 2.4 GHz,1601390327937672.0,1601391228220964.0,,
1601380742,2020-09-29 11:59:02,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391243733337.0,165.6,0.0
1601380742,2020-09-29 11:59:02,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391244064170.0,,
1601380780,2020-09-29 11:59:40,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391281965540.0,46.3,0.0
1601380780,2020-09-29 11:59:40,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391282439523.0,,
1601380781,2020-09-29 11:59:41,,0.0,FHSS,,189,active,2440000000.0,ISM 2.4 GHz,1601391130512419.0,1601391282868688.0,,
1601380787,2020-09-29 11:59:47,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391288955768.0,145.8,0.0
1601380788,2020-09-29 11:59:48,,0.0,FHSS,,187,active,2440000000.0,ISM 2.4 GHz,1601389647219057.0,1601391288959212.0,145.7,0.1
1601380788,2020-09-29 11:59:48,,0.0,FHSS,,187,active,2440000000.0,ISM 2.4 GHz,1601389647219057.0,1601391289720719.0,144.3,0.0
1601380788,2020-09-29 11:59:48,,0.0,FHSS,,189,active,2440000000.0,ISM 2.4 GHz,1601391130512419.0,1601391288785046.0,145.8,0.0
1601380788,2020-09-29 11:59:48,,0.0,FHSS,,189,active,2440000000.0,ISM 2.4 GHz,1601391130512419.0,1601391289954337.0,143.7,0.6
1601380788,2020-09-29 11:59:48,,0.0,FHSS,Cheerson Leopard 2,186,active,2440000000.0,ISM 2.4 GHz,1601390540422472.0,1601391289945765.0,143.5,0.6
1601380788,2020-09-29 11:59:48,,1.0,FHSS,"AscTec Falcon 8 Downlink, DJI Mavic Mini",185,active,2440000000.0,ISM 2.4 GHz,1601370481734079.0,1601391288971578.0,145.7,0.1
