timestamp,scenario_name,latitude,longitude,altitude,speed,latitude_2,longitude_2,altitude_2,speed_2,AlviraTracksTrackPosition_Latitude,AlviraTracksTrackPosition_Longitude,AlviraTracksTrackPosition_Altitude,AlviraTracksTrackVelocity_Azimuth,AlviraTracksTrackVelocity_Elevation,AlviraTracksTrackVelocity_Speed,AlviraTracksTrack_Classification,AlviraTracksTrack_Reflection,AlviraTracksTrack_Score,AlviraTracksTrack_Alarm,ArcusTracksTrackPosition_Latitude,ArcusTracksTrackPosition_Longitude,ArcusTracksTrackPosition_Altitude,ArcusTracksTrackVelocity_Azimuth,ArcusTracksTrackVelocity_Elevation,ArcusTracksTrackVelocity_Speed,ArcusTracksTrack_Classification,ArcusTracksTrack_Reflection,ArcusTracksTrack_Score,ArcusTracksTrack_Alarm,DianaTargetsTargetSignal_snr_dB,DianaTargetsTargetSignal_bearing_deg,DianaTargetsTargetSignal_range_m,DianaTargetsTargetClassification_type,VenusTriggerVenusName_isThreat,VenusTriggerLinkType_Uplink,VenusTrigger_VenusName,VenusTrigger_RadioId,VenusTrigge_LifeStatus,VenusTrigger_Frequency,VenusTrigge_FrequencyBand,VenusTrigger_OnAirStartTime,VenusTrigger_StopTime,VenusTrigger_Azimuth,VenusTrigger_Deviation,drones,utm_x,utm_y,utm_x2,utm_y2,alvira_utm_x,alvira_utm_y,arcus_utm_x,arcus_utm_y,reference_classification,reference_drones
1601385959,Scenario_1_3,51.518722,5.858073,15.7,10.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,51.52297966,5.86843486,65.07701345,10.17785263,4.20502806,32.99687576,2,-36.46076202,0.73272878,0,0.0,0.0,0.0,2,0.0,VOID,14,0,down,0.0,0,0.0,0.0,0.0,0.0,1,698286.8829543127,5711384.170947022,0.0,0.0,0.0,0.0,698987.063198444,5711885.688132363,0,0
1601380819,Scenario_Parrot_a,51.5243544196618,5.870642520136549,81.9536529225162,14.4510239539776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,2,0.0,0.0,0.0,2,0.0,VOID,14,0,down,0.0,0,0.0,0.0,0.0,0.0,1,699134.1822985932,5712044.545608972,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601457611,Scenario_2_2,51.517659,5.855645,40.0,0.0,51.518242,5.85311,34.9,8.38,51.51761513,5.85583672,48.15810196,308.60665894,0.0,1.18165004,0,26.31479179,0.9855116,0,51.52576827,5.86890585,34.48115442,127.39567566,-17.93457031,1.77587783,5,-2.99434662,0.96462327,0,19.886049,75.993923,180.0,1,0.0,VOID,14,0,down,0.0,0,0.0,0.0,0.0,0.0,2,698123.0799946797,5711259.404680827,697944.7070644338,5711317.360926127,698136.5694106575,5711255.046410236,699007.5663289798,5712197.01387847,3,1
1601455384,Scenario_2_1,51.517208,5.856853,39.8,1.49,51.517683,5.849046,39.6,14.15,51.51724116,5.85698488,49.09614403,240.84712219,0.0,13.94385624,2,19.9552555,0.97679728,0,51.51945429,5.87163142,222.94188272,295.56716919,4.3772769,8.8203125,2,-25.11004257,0.88190156,0,25.362015,91.616915,96.0,1,0.0,FHSS,14,34,active,2440000000.0,1,1601462886278761.0,1601463913830820.0,55.5,0.7,2,698208.8335170125,5711212.534027814,697665.2261839348,5711244.219761896,698217.8376322002,5711216.578209882,699224.1624656506,5711502.430991418,3,1
1601380800,Scenario_Parrot_a,51.5230790644487,5.8670826681233,80.06965286222821,15.04192493345344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,51.52233024,5.86774999,65.27870507,135.19789124,40.32290649,12.501128199999998,2,-34.22261047,0.88306391,0,15.647198,15.741668,293.0,1,1.0,FHSS,2,185,active,2440000000.0,1,1601370481734079.0,1601391302186466.0,0.0,0.0,1,698892.8442314231,5711893.062228306,0.0,0.0,0.0,0.0,698942.3933791118,5711811.6210336,0,0
1601382144,Scenario_1_1,51.515816,5.848489,39.9,11.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,2,22.951815,95.676975,126.0,0,0.0,VOID,14,0,down,0.0,0,0.0,0.0,0.0,0.0,1,697634.6739694867,5711035.136608425,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601381923,Scenario_1_1,51.519642,5.858736,39.9,4.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,6,0.0,0.0,2,0.0,0.0,0.0,2,0.0,VOID,14,0,down,0.0,0,0.0,0.0,0.0,0.0,1,698328.87334618,5711488.256376734,0.0,0.0,0.0,0.0,0.0,0.0,0,0
1601455646,Scenario_2_1,51.519578,5.863524,40.4,8.24,51.522595,5.864496,40.7,13.76,51.52282088,5.86458093,48.46919198,46.74446869,0.0,14.11651421,0,18.91324965,0.99840677,0,51.51957528,5.86331026,73.33289198,315.01586914,-34.32004547,1.26999116,0,-17.708290100000006,0.86436135,1,0.0,0.0,0.0,2,1.0,VOID,9,281474977710661,active,2416500000.0,1,1601463986566893.0,1601464177796156.0,57.0,5.0,2,698661.2639842042,5711494.134155568,698715.5459951011,5711832.2119318815,698720.452866565,5711857.556569248,698646.4500751987,5711493.251237152,5,2
1601455839,Scenario_2_1,51.515252,5.851339,39.9,13.74,51.51793,5.849695,40.1,13.06,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,51.53404491,5.86943173,69.1048583,144.6914978,-0.56583476,15.98148632,2,-22.31201935,0.85529613,0,0.0,0.0,0.0,2,1.0,VOID,9,281474977710662,active,2456500000.0,1,1601464038441605.0,1601464371323651.0,62.0,4.0,2,697834.8215046412,5710980.13369248,697709.1749852581,5711273.4358941065,0.0,0.0,699007.926118961,5713118.66190732,0,0
1601385829,Scenario_1_3,51.51576,5.850718,15.7,7.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0.0,0.0,1,51.52290120000001,5.86982534,28.84090607,131.11947632,-2.15419173,5.69696951,2,-34.11022949,0.81236738,0,0.0,0.0,0.0,2,1.0,FHSS,4,307,active,2440000000.0,1,1601370481734079.0,1601396331163001.0,0.0,0.0,1,697789.5410352158,5711034.935127873,0.0,0.0,0.0,0.0,699083.8467635867,5711880.74864834,0,0
